0	3.23	0.03
1	3.23	0.04
2	3.18	0.03
3	3.29	0.03
4	3.3	0.03
5	3.26	0.03
6	3.33	0.04
7	3.37	0.04
8	3.42	0.03
9	3.38	0.04
10	3.52	0.04
11	3.6	0.04
12	3.92	0.05
13	4.06	0.04
14	4.28	0.03
15	4.49	0.04
16	4.75	0.03
17	4.88	0.04
18	5.02	0.03
19	4.96	0.03
20	4.99	0.04
21	4.91	0.03
22	4.88	0.03
23	4.86	0.03
24	4.81	0.04
25	4.82	0.02
26	4.67	0.04
27	4.75	0.04
28	4.75	0.03
29	4.73	0.03
30	4.62	0.04
31	4.62	0.03
32	4.6	0.03
33	4.58	0.03
34	4.59	0.03
35	4.54	0.02
36	4.45	0.03
37	4.46	0.03
38	4.41	0.03
39	4.55	0.03
40	4.55	0.03
41	4.51	0.05
42	4.5	0.03
43	4.46	0.04
44	4.48	0.03
45	4.33	0.04
46	4.36	0.05
47	4.38	0.04
48	4.45	0.04
49	4.46	0.03
50	4.34	0.04
51	4.33	0.05
52	4.31	0.04
53	4.44	0.03
54	4.38	0.04
55	4.31	0.03
56	4.35	0.04
57	4.43	0.04
58	4.49	0.06
59	4.43	0.04
60	4.6	0.04
61	4.51	0.05
62	4.6	0.04
63	4.53	0.04
64	4.36	0.06
65	4.48	0.05
66	4.57	0.04
67	4.44	0.05
68	4.42	0.06
69	4.47	0.05
70	4.32	0.04
71	4.22	0.05
72	4.21	0.04
73	4.23	0.04
74	4.03	0.04
75	3.95	0.04
76	4.06	0.04
77	4.08	0.05
78	4.05	0.03
79	4.05	0.05
80	3.9	0.04
81	3.82	0.04
82	3.8	0.04
83	3.83	0.04
84	3.82	0.04
85	3.95	0.06
86	4.06	0.05
87	4.18	0.05
88	4.11	0.05
89	4.08	0.04
90	4.06	0.05
91	4.03	0.04
92	3.98	0.04
93	3.9	0.03
94	3.84	0.04
95	3.77	0.05
96	3.75	0.03
97	3.83	0.04
98	3.9	0.04
99	3.78	0.06
100	3.81	0.06
